               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.023225,            0.005262,                   0,             0.82902,             0.81765,             0.87946,             0.66397,            0.010712,            0.005371,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.022728,           0.0052953,                   0,             0.83963,             0.80625,             0.88957,               0.676,            0.010362,            0.005373,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.022866,           0.0050961,                   0,             0.84425,             0.81726,             0.89125,             0.67691,            0.010473,           0.0052709,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.023154,           0.0050254,                   0,              0.8325,             0.82668,             0.88991,             0.67084,            0.010407,           0.0054344,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.023264,           0.0051427,                   0,             0.82618,              0.8241,             0.89049,             0.67702,            0.010423,           0.0053393,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.023335,            0.005177,                   0,             0.80396,             0.83634,             0.88215,             0.66537,            0.010537,           0.0053654,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.022949,            0.005009,                   0,              0.8226,             0.84021,             0.89565,             0.68349,             0.01035,           0.0052876,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.023026,           0.0049161,                   0,             0.84565,             0.82961,             0.88862,             0.68451,            0.010279,           0.0052369,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.022373,           0.0048534,                   0,             0.85554,             0.84343,             0.89991,             0.69223,            0.009898,            0.005202,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.022848,           0.0049539,                   0,              0.8338,              0.8299,             0.90146,             0.69487,            0.010249,           0.0051891,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.023132,           0.0050781,                   0,             0.84311,             0.83104,             0.90534,             0.69065,            0.010253,           0.0051962,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.022444,           0.0050524,                   0,             0.83578,             0.84536,             0.90105,             0.69275,            0.010055,           0.0051429,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.022301,           0.0050187,                   0,             0.84376,             0.83956,             0.89729,              0.6943,           0.0099892,           0.0051796,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.022372,           0.0048269,                   0,              0.8335,             0.83505,             0.89679,             0.68906,            0.010134,            0.005254,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.023098,           0.0049017,                   0,             0.83036,             0.83261,             0.90008,             0.68753,           0.0099753,           0.0052451,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.022553,           0.0050001,                   0,             0.83615,             0.84278,             0.90041,             0.69092,           0.0099504,           0.0051891,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.022291,           0.0048632,                   0,             0.82608,             0.83505,              0.8965,             0.69484,           0.0098762,           0.0052077,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.022033,            0.004823,                   0,             0.82077,             0.84092,             0.90341,             0.70317,             0.00992,           0.0052088,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.022606,           0.0048628,                   0,             0.83509,             0.83183,             0.89943,             0.68895,            0.010233,           0.0053132,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.021869,           0.0048089,                   0,             0.87112,             0.81879,             0.90819,             0.70018,           0.0099917,           0.0051349,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.022436,           0.0047855,                   0,             0.84967,             0.83247,             0.90735,             0.69947,           0.0099942,            0.005162,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.021799,           0.0047704,                   0,             0.86149,              0.8241,             0.90699,              0.7016,            0.010133,           0.0050547,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.022024,            0.004847,                   0,             0.85134,             0.83026,              0.9063,             0.69948,           0.0099306,           0.0050709,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.021203,           0.0045859,                   0,             0.83072,              0.8632,             0.91361,             0.71119,           0.0099866,           0.0049493,                   0,             0.00604,             0.00604,             0.00604
                  62,             0.02144,            0.004639,                   0,             0.85451,              0.8357,             0.91522,             0.71713,           0.0098021,            0.005007,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.021452,           0.0045729,                   0,             0.86068,             0.82539,             0.90912,             0.70953,           0.0098288,           0.0050907,                   0,            0.005908,            0.005908,            0.005908
                  64,             0.02152,           0.0045984,                   0,             0.83612,             0.85954,             0.91244,             0.71178,           0.0097478,           0.0050367,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.021915,           0.0047514,                   0,              0.8683,             0.82413,             0.91361,             0.71147,           0.0098525,           0.0051336,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.021478,           0.0047062,                   0,             0.85709,             0.83698,             0.91592,             0.71647,           0.0098723,           0.0050222,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.021569,            0.004633,                   0,             0.87559,             0.82281,             0.91744,             0.71665,           0.0099476,           0.0049634,                   0,            0.005644,            0.005644,            0.005644
                  68,             0.02094,           0.0045447,                   0,             0.85774,             0.83134,             0.91199,              0.7123,           0.0098905,           0.0050077,                   0,            0.005578,            0.005578,            0.005578
                  69,             0.02114,            0.004599,                   0,             0.87072,             0.82454,             0.90865,             0.71228,            0.010039,           0.0050304,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.020918,           0.0048307,                   0,             0.87982,             0.82152,             0.91041,             0.71513,           0.0099219,           0.0050097,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.021415,           0.0045211,                   0,             0.87867,             0.81194,              0.9074,             0.70802,           0.0098585,           0.0051189,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.021283,           0.0046274,                   0,             0.87727,             0.82216,             0.91239,             0.71302,           0.0098276,           0.0049873,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.021153,           0.0044579,                   0,             0.87222,             0.83564,             0.91083,             0.71493,           0.0096239,           0.0049721,                   0,            0.005248,            0.005248,            0.005248
                  74,             0.02056,           0.0043997,                   0,             0.87417,              0.8371,             0.91482,             0.71725,           0.0095981,           0.0049026,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.020596,           0.0042883,                   0,              0.8603,              0.8372,             0.91517,             0.72011,           0.0096149,            0.004908,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.020851,           0.0044866,                   0,             0.87624,             0.83029,             0.91548,             0.72248,           0.0095672,           0.0048954,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.020172,            0.004363,                   0,             0.86308,             0.84477,             0.91449,             0.72579,           0.0094332,           0.0048885,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.020836,           0.0044587,                   0,             0.86773,             0.84601,             0.91333,             0.72128,           0.0095215,           0.0049217,                   0,            0.004918,            0.004918,            0.004918
                  79,             0.02005,           0.0042884,                   0,             0.86815,             0.83577,             0.91304,             0.72221,           0.0095221,           0.0049191,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.019995,            0.004282,                   0,             0.88293,             0.82127,             0.91631,             0.72299,           0.0096124,           0.0048857,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.020407,           0.0041951,                   0,             0.87369,             0.82901,             0.91543,             0.72327,            0.009511,           0.0049047,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.020267,           0.0043041,                   0,             0.87415,             0.83441,             0.91519,             0.72209,           0.0095584,           0.0049093,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.020781,           0.0043126,                   0,             0.87273,             0.83119,             0.91209,             0.71933,           0.0095724,           0.0049455,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.020152,           0.0042839,                   0,              0.8751,             0.83183,             0.91419,             0.72239,           0.0095949,           0.0049166,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.019729,           0.0042321,                   0,             0.88902,             0.82216,             0.91254,             0.72198,           0.0095149,           0.0049027,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.019661,           0.0041658,                   0,             0.88161,             0.82088,             0.91415,             0.72426,           0.0095798,           0.0049383,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.019897,           0.0042908,                   0,             0.86919,             0.83119,             0.91331,             0.72197,           0.0095751,           0.0049515,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.019881,           0.0041644,                   0,              0.8495,             0.84374,             0.91254,             0.72476,           0.0095847,           0.0049553,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.019813,           0.0042335,                   0,             0.87449,             0.82604,             0.91425,             0.72641,           0.0094846,           0.0048897,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.019995,           0.0041831,                   0,             0.87716,              0.8282,             0.91377,             0.72553,            0.009429,           0.0048731,                   0,            0.004126,            0.004126,            0.004126
                  91,             0.01989,           0.0042519,                   0,             0.87044,              0.8357,              0.9157,             0.72927,           0.0094655,           0.0048801,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.019923,            0.004238,                   0,             0.88098,             0.83183,             0.91474,             0.72891,           0.0095009,           0.0049172,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.019288,           0.0042143,                   0,             0.87748,             0.83312,             0.91319,             0.72812,            0.009558,           0.0049507,                   0,            0.003928,            0.003928,            0.003928
                  94,             0.01963,           0.0041134,                   0,             0.88289,              0.8258,             0.91352,             0.72567,           0.0095233,           0.0049327,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.019263,           0.0041754,                   0,             0.88136,             0.82812,             0.91574,             0.72937,           0.0094937,           0.0049369,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.019642,           0.0039861,                   0,             0.89182,             0.83119,             0.91637,             0.72955,           0.0094417,           0.0049576,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.019273,           0.0040475,                   0,             0.88661,             0.83312,             0.91677,             0.73153,           0.0094057,           0.0049627,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.019238,           0.0040203,                   0,              0.8817,             0.83183,             0.91684,             0.73269,           0.0093968,           0.0049867,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.019219,            0.004015,                   0,             0.88192,             0.83257,             0.91795,             0.73206,           0.0094062,           0.0049655,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.018744,           0.0039749,                   0,              0.8785,              0.8386,             0.91882,             0.73358,           0.0094251,           0.0049231,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.019113,           0.0039472,                   0,             0.89235,             0.83634,             0.91716,              0.7356,           0.0094167,           0.0049103,                   0,              0.0034,              0.0034,              0.0034
                 102,              0.0191,           0.0040618,                   0,             0.89529,             0.83376,             0.91697,             0.73477,           0.0094147,           0.0049108,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.018843,           0.0038904,                   0,             0.87943,             0.84125,             0.91752,             0.73572,           0.0094011,           0.0048987,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.018907,           0.0039105,                   0,             0.88113,             0.83634,             0.91706,             0.73618,           0.0093939,           0.0049063,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.018713,            0.003934,                   0,             0.88481,             0.83698,             0.91743,             0.73656,           0.0093837,           0.0048814,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.019105,           0.0037166,                   0,             0.88436,              0.8377,             0.91694,              0.7369,           0.0093761,            0.004885,                   0,             0.00307,             0.00307,             0.00307
                 107,              0.0184,           0.0036581,                   0,              0.8869,             0.83871,             0.91586,             0.73681,           0.0093583,           0.0048857,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.018737,           0.0038401,                   0,              0.8896,             0.83763,             0.91485,             0.73666,           0.0093401,           0.0048873,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.018612,           0.0037418,                   0,              0.8799,             0.84025,             0.91455,             0.73698,           0.0093272,           0.0049008,                   0,            0.002872,            0.002872,            0.002872
