               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.037918,            0.010723,                   0,             0.89611,             0.75794,             0.83968,             0.38915,            0.040665,           0.0090907,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.038289,            0.010575,                   0,             0.91277,             0.77778,             0.84536,             0.39814,            0.039894,           0.0089015,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.035631,            0.010959,                   0,              0.9022,              0.8254,             0.86369,             0.41791,            0.038016,           0.0085636,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.036903,           0.0097459,                   0,             0.87305,             0.80357,             0.85589,             0.40016,            0.039045,           0.0085623,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.036975,            0.010641,                   0,             0.83549,             0.81623,             0.84812,             0.39632,             0.04006,           0.0091025,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.035928,            0.010784,                   0,             0.91136,             0.79762,              0.8655,             0.42381,             0.03866,           0.0085489,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.035503,            0.010777,                   0,             0.90406,             0.82269,             0.88471,             0.43597,            0.037079,           0.0085531,                   0,            0.007096,            0.007096,            0.007096
                  46,             0.03478,             0.00955,                   0,              0.9007,             0.80988,             0.87504,             0.40715,            0.039381,           0.0085342,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.036331,             0.01034,                   0,             0.86861,             0.83945,             0.87557,             0.42487,            0.038208,           0.0084066,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.034763,           0.0094676,                   0,             0.88219,             0.84325,             0.88101,             0.42813,            0.038309,           0.0084704,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.034681,           0.0099565,                   0,             0.90273,             0.79563,             0.86901,               0.426,            0.037674,           0.0084893,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.034028,            0.010111,                   0,             0.90237,             0.79762,             0.86171,             0.41945,            0.037525,           0.0084425,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.032451,           0.0099994,                   0,              0.8988,             0.78571,             0.86565,             0.41674,            0.038424,            0.008692,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.034646,            0.010789,                   0,             0.88357,             0.79563,              0.8583,             0.41303,            0.038127,           0.0088829,                   0,            0.006634,            0.006634,            0.006634
                  53,             0.03397,            0.010876,                   0,             0.90871,              0.7877,             0.86742,             0.40579,            0.038592,           0.0087468,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.031684,            0.010246,                   0,             0.88748,             0.81374,             0.86934,             0.40663,            0.038987,           0.0085963,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.034582,            0.009348,                   0,             0.87755,              0.8247,              0.8733,             0.42538,            0.036999,           0.0082988,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.033937,           0.0099413,                   0,             0.87798,             0.82806,             0.86171,             0.41187,            0.038356,           0.0082385,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.032671,            0.010291,                   0,             0.88402,              0.8373,             0.87208,             0.43343,            0.037289,           0.0083644,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.032428,            0.010057,                   0,              0.8921,             0.80383,             0.86332,             0.42861,            0.036976,            0.008587,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.03382,           0.0099606,                   0,             0.89001,             0.81877,             0.87527,             0.43354,            0.036828,           0.0086581,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.033875,             0.01088,                   0,             0.88562,             0.76817,             0.83207,             0.40456,            0.038952,           0.0091377,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.031788,           0.0092372,                   0,             0.89607,             0.80399,             0.86822,             0.42701,            0.037577,           0.0085214,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.031712,           0.0092003,                   0,             0.88953,             0.82738,             0.87081,             0.43681,            0.037616,           0.0085931,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.032419,           0.0097116,                   0,             0.88216,             0.82937,             0.86922,              0.4267,            0.038091,           0.0085403,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.032289,             0.01029,                   0,             0.90688,              0.8309,             0.87623,             0.41879,            0.037583,           0.0083763,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.031284,           0.0095814,                   0,             0.89562,             0.82143,             0.86938,             0.43151,            0.037027,           0.0085329,                   0,            0.005776,            0.005776,            0.005776
